component_name,CAS RN
acetaldehyde,75-07-0
acetone,67-64-1
acetylene,74-86-2
ethyl-acetylene,107-00-6
allyl alcohol,107-18-6
ammonia,7664-41-7
argon,7440-37-1
benzene,71-43-2
ethyl-benzene,100-41-4
propyl-benzene,103-65-1
"1,3-butadiene",106-99-0
"1,2-butadiene",590-19-2
n-butane,106-97-8
iso-butane,75-28-5
iso-butylene,7756-94-7
1-butanol,71-36-3
2-butanol,78-92-2
1-butene,106-98-9
1-butanethiol,109-79-5
2-butanethiol,513-53-1
isobutyl mercaptan,513-44-0
tert-butyl mercaptan,75-66-1
cis-2-butene,590-18-1
trans-2-butene,624-64-6
isobutyraldehyde,78-84-2
butyraldehyde,123-72-8
carbon dioxide,124-38-9
carbon disulphide,75-15-0
carbon monoxide,630-08-0
carbonyl sulphide,463-58-1
cumene,98-82-8
chloroethane,75-00-3
chloroform,67-66-3
2-chloropropene,557-98-2
1-decanethiol,143-10-2
decane,124-18-5
"1,1-dichloroethane",75-34-3
"1,2-dichloroethane",107-06-2
diethylamine,109-89-7
"1,4-diethylbenzene",105-05-5
diethyl sulphide,352-93-2
dimethyl sulphide,75-18-3
dimethyl disulphide,624-92-0
dimethyl ether,115-10-6
diethyl ether,60-29-7
diisobutylene,107-39-1
"cis-1,2-dichloroethylene",156-59-2
"trans-1,2-dichloroethylene",156-60-5
"1,4-dioxane",123-91-1
"2,2-dimethylbutane",75-83-2
"2,3-dimethylbutane",79-29-8
dodecane,112-40-3
ethane,74-84-0
ethanol,64-17-5
ethanethiol,75-08-1
ethylcyclohexane,1678-91-7
ethylcyclopentane,1640-89-7
ethylene,74-85-1
ethyl formate,109-94-4
methyl ethyl ketone,78-93-3
helium,7440-59-7
heptane,142-82-5
hexane,110-54-3
iso-hexane,107-83-5
cyclo-hexane,110-82-7
1-hexanethiol,111-31-9
1-hexene,592-41-6
2-hexene,4050-45-7
trans-2-hexene,592-43-8
1-heptanethiol,1639-09-4
hydrogen,1333-74-0
hydrogen sulphide,7783-06-4
isoprene,78-79-5
methane,74-82-8
methanethiol,74-93-1
methanol,67-56-1
methyl acetate,79-20-9
2-methyl-1-butene,563-46-2
2-methyl-2-butene,513-35-9
3-methyl-1-butene,563-45-1
methyl-cyclo-hexane,108-87-2
methyl chloride,74-87-3
methyl formate,107-31-3
2-methylhexane,591-76-4
3-methylpentane,96-14-0
nitric oxide,10102-43-9
nitrogen,7727-37-9
nitrogen dioxide,10102-44-0
nitrous oxide,10024-97-2
nonane,111-84-2
1-nonanethiol,1455-21-6
octane,111-65-9
1-octanethiol,111-88-6
oxygen,7782-44-7
n-pentane,109-66-0
iso-pentane,78-78-4
neo-pentane,463-82-1
cyclo-pentane,287-92-3
methyl-cyclo-pentane,96-37-7
2 -propanol,67-63-0
1 -propanol,71-23-8
"1,4-pentadiene",591-93-5
1-pentene,109-67-1
1-propanethiol,107-03-9
2-propanethiol,75-33-2
cis-2-pentene,627-20-3
trans-2-pentene,646-04-8
1-pentanethiol,110-66-7
2-methyl-1-propanethiol,513-44-0
2-methyl-2-propanethiol,75-66-1
propane,74-98-6
cyclo-propane,75-19-4
propylene,115-07-1
propadiene,463-49-0
propyne,74-99-7
propyl ether,111-43-3
diisopropyl ether,108-20-3
propionaldehyde,123-38-6
sulphur dioxide,7446-09-5
sulphur hexafluoride,2551-62-4
sulfolane,126-33-0
styrene,100-42-5
ethyl methyl sulphide,624-89-5
tetradecane,629-59-4
toluene,108-88-3
tridecane,629-50-5
trichloroethylene,79-01-6
"1,2,4-trichlorobenzene",120-82-1
"1,2,4-trimethylbenzene",95-63-6
"2,2,4-trimethylpentane",540-84-1
"2,4,4-trimethyl-1-pentene",107-39-1
undecane,1120-21-4
valeraldehyde,110-62-3
isovaleraldehyde,590-86-3
vinyl chloride,75-01-4
vinyl acetylene,689-97-4
water,7732-18-5
ortho-xylene,95-47-6
meta-xylene,108-38-3
para-xylene,106-42-3
tert-butyl methyl ether,1634-04-4
tert-butyl ethyl ether,637-92-3
sec-butyl methyl ether,6795-87-5
sec-butyl sulfide,626-26-6
tert-butyl alcohol,75-65-0
isobutanol,78-83-1
tert-amyl methyl ether,994-05-8
thiophene,110-02-1
tetrahydrothiophene,110-01-0
2-Ethylthiophene,872-55-9
2-Methylthiophene,554-14-3
3-Methylthiophene,616-44-4
"2,5-Dimethylthiophene",638-02-8
difluoromethane,75-10-5
pentafluoroethane,354-33-6
"1,1,1,2-tetrafluoroethane",811-97-2
