Pressure (P),Temperature (T),Z
10,293,0.9972175633282329
10,294,0.9973036889277623
10,295,0.9973885549964638
10,296,0.9974721825320502
10,297,0.9975545921214358
10,298,0.9976358039500489
10,299,0.9977158378109041
10,300,0.9977947131134404
10,301,0.997872448892132
10,302,0.9979490638148804
10,303,0.9980245761911896
10,304,0.9980990039801361
10,305,0.9981723647981352
10,306,0.9982446759265113
10,307,0.9983159543188787
10,308,0.9983862166083349
10,309,0.9984554791144766
10,310,0.9985237578502381
10,311,0.9985910685285612
10,312,0.9986574265688994
20,293,0.9944351266564658
20,294,0.9946073778555248
20,295,0.9947771099929278
20,296,0.9949443650641004
20,297,0.9951091842428715
20,298,0.9952716079000978
20,299,0.9954316756218082
20,300,0.9955894262268806
20,301,0.995744897784264
20,302,0.9958981276297607
20,303,0.9960491523823792
20,304,0.9961980079602722
20,305,0.9963447295962702
20,306,0.9964893518530227
20,307,0.9966319086377573
20,308,0.9967724332166699
20,309,0.9969109582289531
20,310,0.9970475157004759
20,311,0.9971821370571221
20,312,0.9973148531377991
30,293,0.9916526899846987
30,294,0.9919110667832871
30,295,0.9921656649893915
30,296,0.9924165475961507
30,297,0.9926637763643074
30,298,0.9929074118501467
30,299,0.9931475134327123
30,300,0.9933841393403209
30,301,0.9936173466763961
30,302,0.9938471914446411
30,303,0.9940737285735687
30,304,0.9942970119404082
30,305,0.9945170943944054
30,306,0.9947340277795338
30,307,0.9949478629566358
30,308,0.9951586498250047
30,309,0.9953664373434298
30,310,0.995571273550714
30,311,0.9957732055856833
30,312,0.9959722797066985
40,293,0.9888702533129315
40,294,0.9892147557110494
40,295,0.9895542199858554
40,296,0.9898887301282009
40,297,0.9902183684857432
40,298,0.9905432158001957
40,299,0.9908633512436165
40,300,0.9911788524537612
40,301,0.9914897955685281
40,302,0.9917962552595214
40,303,0.9920983047647584
40,304,0.9923960159205443
40,305,0.9926894591925404
40,306,0.9929787037060451
40,307,0.9932638172755145
40,308,0.9935448664333397
40,309,0.9938219164579064
40,310,0.994095031400952
40,311,0.9943642741142442
40,312,0.9946297062755981
50,293,0.9860878166411644
50,294,0.986518444638812
50,295,0.9869427749823193
50,296,0.9873609126602512
50,297,0.987772960607179
50,298,0.9881790197502446
50,299,0.9885791890545206
50,300,0.9889735655672015
50,301,0.9893622444606602
50,302,0.9897453190744019
50,303,0.9901228809559479
50,304,0.9904950199006805
50,305,0.9908618239906756
50,306,0.9912233796325565
50,307,0.991579771594393
50,308,0.9919310830416747
50,309,0.9922773955723829
50,310,0.9926187892511898
50,311,0.9929553426428054
50,312,0.9932871328444975
60,293,0.9833053799693974
60,294,0.9838221335665743
60,295,0.9843313299787831
60,296,0.9848330951923013
60,297,0.9853275527286147
60,298,0.9858148237002935
60,299,0.9862950268654248
60,300,0.9867682786806419
60,301,0.9872346933527922
60,302,0.9876943828892821
60,303,0.9881474571471376
60,304,0.9885940238808165
60,305,0.9890341887888107
60,306,0.9894680555590678
60,307,0.9898957259132717
60,308,0.9903172996500096
60,309,0.9907328746868596
60,310,0.9911425471014279
60,311,0.9915464111713663
60,312,0.9919445594133972
70,293,0.9805229432976302
70,294,0.9811258224943367
70,295,0.9817198849752469
70,296,0.9823052777243516
70,297,0.9828821448500505
70,298,0.9834506276503424
70,299,0.9840108646763288
70,300,0.9845629917940822
70,301,0.9851071422449242
70,302,0.9856434467041625
70,303,0.986172033338327
70,304,0.9866930278609526
70,305,0.9872065535869458
70,306,0.9877127314855791
70,307,0.9882116802321502
70,308,0.9887035162583445
70,309,0.9891883538013362
70,310,0.989666304951666
70,311,0.9901374796999275
70,312,0.9906019859822967
80,293,0.9777405066258632
80,294,0.9784295114220991
80,295,0.9791084399717108
80,296,0.9797774602564019
80,297,0.9804367369714863
80,298,0.9810864316003913
80,299,0.981726702487233
80,300,0.9823577049075225
80,301,0.9829795911370564
80,302,0.9835925105190428
80,303,0.9841966095295167
80,304,0.9847920318410888
80,305,0.9853789183850808
80,306,0.9859574074120903
80,307,0.9865276345510289
80,308,0.9870897328666794
80,309,0.9876438329158127
80,310,0.9881900628019038
80,311,0.9887285482284884
80,312,0.9892594125511961
90,293,0.9749580699540961
90,294,0.9757332003498614
90,295,0.9764969949681747
90,296,0.977249642788452
90,297,0.9779913290929221
90,298,0.9787222355504402
90,299,0.979442540298137
90,300,0.9801524180209628
90,301,0.9808520400291884
90,302,0.9815415743339232
90,303,0.9822211857207063
90,304,0.9828910358212247
90,305,0.9835512831832159
90,306,0.9842020833386016
90,307,0.9848435888699075
90,308,0.9854759494750143
90,309,0.9860993120302893
90,310,0.9867138206521419
90,311,0.9873196167570496
90,312,0.9879168391200956
100,293,0.9721756332823289
100,294,0.9730368892776238
100,295,0.9738855499646385
100,296,0.9747218253205022
100,297,0.9755459212143579
100,298,0.9763580395004892
100,299,0.9771583781090413
100,300,0.9779471311344031
100,301,0.9787244889213204
100,302,0.9794906381488035
100,303,0.9802457619118958
100,304,0.9809900398013609
100,305,0.981723647981351
100,306,0.9824467592651129
100,307,0.9831595431887862
100,308,0.9838621660833493
100,309,0.9845547911447659
100,310,0.9852375785023798
100,311,0.9859106852856105
100,312,0.9865742656889952
110,293,0.9693931966105618
110,294,0.9703405782053862
110,295,0.9712741049611024
110,296,0.9721940078525526
110,297,0.9731005133357937
110,298,0.9739938434505381
110,299,0.9748742159199453
110,300,0.9757418442478435
110,301,0.9765969378134524
110,302,0.9774397019636839
110,303,0.9782703381030854
110,304,0.979089043781497
110,305,0.9798960127794862
110,306,0.9806914351916243
110,307,0.9814754975076648
110,308,0.9822483826916842
110,309,0.9830102702592425
110,310,0.9837613363526178
110,311,0.9845017538141717
110,312,0.9852316922578948
120,293,0.9666107599387948
120,294,0.9676442671331486
120,295,0.9686626599575662
120,296,0.9696661903846028
120,297,0.9706551054572296
120,298,0.971629647400587
120,299,0.9725900537308495
120,300,0.9735365573612837
120,301,0.9744693867055844
120,302,0.9753887657785644
120,303,0.976294914294275
120,304,0.977188047761633
120,305,0.9780683775776213
120,306,0.9789361111181356
120,307,0.9797914518265434
120,308,0.9806345993000192
120,309,0.9814657493737191
120,310,0.9822850942028558
120,311,0.9830928223427328
120,312,0.9838891188267942
130,293,0.9638283232670276
130,294,0.964947956060911
130,295,0.96605121495403
130,296,0.9671383729166529
130,297,0.9682096975786653
130,298,0.969265451350636
130,299,0.9703058915417536
130,300,0.9713312704747241
130,301,0.9723418355977165
130,302,0.9733378295934446
130,303,0.9743194904854646
130,304,0.9752870517417692
130,305,0.9762407423757564
130,306,0.9771807870446467
130,307,0.978107406145422
130,308,0.9790208159083541
130,309,0.9799212284881956
130,310,0.9808088520530938
130,311,0.9816838908712938
130,312,0.9825465453956937
140,293,0.9610458865952606
140,294,0.9622516449886734
140,295,0.963439769950494
140,296,0.9646105554487031
140,297,0.9657642897001011
140,298,0.9669012553006848
140,299,0.9680217293526577
140,300,0.9691259835881644
140,301,0.9702142844898485
140,302,0.971286893408325
140,303,0.9723440666766542
140,304,0.9733860557219052
140,305,0.9744131071738915
140,306,0.9754254629711581
140,307,0.9764233604643006
140,308,0.977407032516689
140,309,0.9783767076026723
140,310,0.9793326099033317
140,311,0.9802749593998549
140,312,0.9812039719645933
