component_name,brand_name,impurity_name,ppm,mole_fraction,molar_mass
n-pentane,Air Gas,iso-Pentane,7279,0.7279,72.15
n-pentane,Air Gas,n-Pentane,992721,99.2721,72.15
iso-pentane,Air Gas,n-Pentane,4732.2,0.47322,72.15
iso-pentane,Air Gas,iso-Pentane,995267.8,99.52678,72.15
n-butane,Huate,Propane,603,0.0603,44.097
n-butane,Huate,Propylene,283,0.0283,42.081
n-butane,Huate,iso-Butane,1323,0.1323,58.124
n-butane,Huate,trans-2-Butene,370,0.037,56.108
n-butane,Huate,cis-2-Butene,738,0.0738,56.108
n-butane,Huate,iso-Butylene,14859,1.4859,56.108
n-butane,Huate,iso-Pentane,10,0.001,72.15
n-butane,Huate,n-Butane,981814,98.1814,58.124
iso-butane,Chengdu,iso-pentane,29.1,0.00291,72.15
iso-butane,Chengdu,iso-butylene,23.3,0.00233,56.108
iso-butane,Chengdu,Propane,266,0.0266,44.097
iso-butane,Chengdu,Propylene,63.7,0.00637,42.081
iso-butane,Chengdu,iso-Butane,999617.9,99.96179,58.124
propane,China,Cyclopropane,378.9,0.03789,42.08
propane,China,n-Butane,24.9,0.00249,58.124
propane,China,iso-Butane,287,0.0287,58.124
propane,China,Propylene,221.9,0.02219,42.081
propane,China,Propane,999087.3,99.90873,44.097
methane,2.5N,N2,273,0.0273,28.013
methane,2.5N,Methane,999727,99.9727,16.043
methane,5N,N2,80,0.008,28.013
methane,5N,Methane,999920,99.992,16.043
cis-2-Butene,Air Gas,trans-2-Butene,1100,0.11,56.108
cis-2-Butene,Air Gas,cis-2-Butene,998900,99.89,56.108
trans-2-Butene,Air Gas,cis-2-Butene,1400,0.14,56.108
trans-2-Butene,Air Gas,trans-2-Butene,998600,99.86,56.108
ethane,Research,CO,0.5,0.00005,28.0104
ethane,Research,CO2,0.5,0.00005,44.011
ethane,Research,Moisture,0.5,0.00005,18.01528
ethane,Research,N2,0.1,0.00001,28.013
ethane,Research,O2,0.1,0.00001,31.9988
ethane,Research,Other Hydrocarbon,38.2,0.00382,16.043
ethane,Research,Ethane,999960.1,99.99601,30.07
ethylene,Air Gas,Ethane,100,0.01,30.07
ethylene,Air Gas,CO,0.1,0.00001,28.01
ethylene,Air Gas,CO2,0.1,0.00001,44.01100159
ethylene,Air Gas,Ethylene,999899.8,99.98998,28.06
propylene,Air Gas,Propane,900,0.09,44.097
propylene,Air Gas,n-Butane,10.9,0.00109,58.124
propylene,Air Gas,iso-butane,38.7,0.00387,58.124
propylene,Air Gas,CO,0.4468,0.00004468,28.01
propylene,Air Gas,CO2,1.2369,0.00012369,44.01100159
propylene,Air Gas,Methane,1.2996,0.00012996,16.043
propylene,Air Gas,Ethylene,0.6625,0.00006625,28.06
propylene,Air Gas,Ethane,1.0869,0.00010869,30.07
propylene,Air Gas,Propylene,999045.6673,99.90456673,42.081
propane,Research,Ethane,44,0.0044,30.07
propane,Research,n-Butane,4,0.0004,58.124
propane,Research,iso-Butane,13,0.0013,58.124
propane,Research,oxygen,0.3,0.00003,31.9988
propane,Research,nitrogen,0.5,0.00005,28.013
propane,Research,hydrogen,0.5,0.00005,2.016
propane,Research,Propane,999937.7,99.99377,44.097
vinyl acetylene,China,Acetylene,1900,0.19,26.038
vinyl acetylene,China,1-Butene,3700,0.37,56.108
vinyl acetylene,China,"1,3-Butadiene",22,0.0022,54.092
vinyl acetylene,China,Vinyl Chloride,7900,0.79,62.498
vinyl acetylene,China,Vinyl Acetylene,986478,98.6478,44.097
iso-butylene,Isgas,Propane,5.6,0.00056,44.097
iso-butylene,Isgas,n-Butane,16.4,0.00164,58.124
iso-butylene,Isgas,iso-Butane,59.3,0.00593,58.124
iso-butylene,Isgas,1-butene,3.6,0.00036,56.108
