Pressure (P),Temperature (T),Z
10,294,0.9931305242095537
10,295,0.9932402363250911
10,296,0.9933484480141472
10,297,0.9934551836512882
10,298,0.9935604671410388
10,299,0.9936643219284368
10,300,0.9937667710093134
10,301,0.9938678369403128
10,302,0.9939675418486549
10,303,0.9940659074416508
10,304,0.9941629550159776
10,305,0.9942587054667181
10,306,0.9943531792961734
10,307,0.9944463966224552
10,308,0.9945383771878622
10,309,0.9946291403670494
10,310,0.994718705174992
10,311,0.9948070902747549
10,312,0.9948943139850683
10,313,0.9949803942877188
20,294,0.9862610484191076
20,295,0.986480472650182
20,296,0.9866968960282946
20,297,0.9869103673025762
20,298,0.9871209342820777
20,299,0.9873286438568736
20,300,0.987533542018627
20,301,0.9877356738806256
20,302,0.9879350836973096
20,303,0.9881318148833017
20,304,0.9883259100319555
20,305,0.9885174109334361
20,306,0.9887063585923468
20,307,0.9888927932449102
20,308,0.9890767543757245
20,309,0.9892582807340987
20,310,0.989437410349984
20,311,0.9896141805495097
20,312,0.9897886279701368
20,313,0.9899607885754373
30,294,0.9793915726286614
30,295,0.979720708975273
30,296,0.9800453440424418
30,297,0.9803655509538644
30,298,0.9806814014231163
30,299,0.9809929657853104
30,300,0.9813003130279404
30,301,0.9816035108209383
30,302,0.9819026255459645
30,303,0.9821977223249525
30,304,0.9824888650479331
30,305,0.9827761164001544
30,306,0.9830595378885202
30,307,0.9833391898673653
30,308,0.9836151315635867
30,309,0.983887421101148
30,310,0.984156115524976
30,311,0.9844212708242646
30,312,0.9846829419552051
30,313,0.9849411828631561
40,294,0.9725220968382152
40,295,0.972960945300364
40,296,0.973393792056589
40,297,0.9738207346051525
40,298,0.9742418685641552
40,299,0.9746572877137473
40,300,0.9750670840372538
40,301,0.9754713477612512
40,302,0.9758701673946193
40,303,0.9762636297666034
40,304,0.9766518200639107
40,305,0.9770348218668725
40,306,0.9774127171846935
40,307,0.9777855864898204
40,308,0.978153508751449
40,309,0.9785165614681974
40,310,0.978874820699968
40,311,0.9792283610990195
40,312,0.9795772559402736
40,313,0.9799215771508749
50,294,0.9656526210477689
50,295,0.9662011816254551
50,296,0.9667422400707363
50,297,0.9672759182564404
50,298,0.967802335705194
50,299,0.9683216096421841
50,300,0.9688338550465673
50,301,0.969339184701564
50,302,0.9698377092432742
50,303,0.9703295372082542
50,304,0.9708147750798886
50,305,0.9712935273335905
50,306,0.9717658964808669
50,307,0.9722319831122755
50,308,0.9726918859393112
50,309,0.9731457018352468
50,310,0.97359352587496
50,311,0.9740354513737742
50,312,0.9744715699253419
50,313,0.9749019714385936
60,294,0.9587831452573228
60,295,0.959441417950546
60,296,0.9600906880848836
60,297,0.9607311019077286
60,298,0.9613628028462328
60,299,0.9619859315706208
60,300,0.9626006260558808
60,301,0.9632070216418769
60,302,0.9638052510919289
60,303,0.964395444649905
60,304,0.9649777300958662
60,305,0.9655522328003087
60,306,0.9661190757770403
60,307,0.9666783797347307
60,308,0.9672302631271735
60,309,0.9677748422022961
60,310,0.968312231049952
60,311,0.9688425416485291
60,312,0.9693658839104102
60,313,0.9698823657263123
70,294,0.9519136694668765
70,295,0.952681654275637
70,296,0.9534391360990309
70,297,0.9541862855590167
70,298,0.9549232699872716
70,299,0.9556502534990576
70,300,0.9563673970651942
70,301,0.9570748585821897
70,302,0.9577727929405838
70,303,0.9584613520915558
70,304,0.9591406851118438
70,305,0.9598109382670268
70,306,0.9604722550732137
70,307,0.9611247763571857
70,308,0.9617686403150357
70,309,0.9624039825693456
70,310,0.963030936224944
70,311,0.963649631923284
70,312,0.9642601978954787
70,313,0.9648627600140309
80,294,0.9450441936764303
80,295,0.9459218906007281
80,296,0.9467875841131781
80,297,0.9476414692103049
80,298,0.9484837371283104
80,299,0.9493145754274944
80,300,0.9501341680745077
80,301,0.9509426955225024
80,302,0.9517403347892386
80,303,0.9525272595332067
80,304,0.9533036401278216
80,305,0.9540696437337449
80,306,0.954825434369387
80,307,0.9555711729796409
80,308,0.956307017502898
80,309,0.957033122936395
80,310,0.957749641399936
80,311,0.9584567221980389
80,312,0.959154511880547
80,313,0.9598431543017497
90,294,0.9381747178859842
90,295,0.9391621269258191
90,296,0.9401360321273254
90,297,0.9410966528615929
90,298,0.9420442042693492
90,299,0.9429788973559312
90,300,0.9439009390838211
90,301,0.9448105324628153
90,302,0.9457078766378935
90,303,0.9465931669748575
90,304,0.9474665951437993
90,305,0.948328349200463
90,306,0.9491786136655604
90,307,0.950017569602096
90,308,0.9508453946907602
90,309,0.9516622633034442
90,310,0.952468346574928
90,311,0.9532638124727938
90,312,0.9540488258656155
90,313,0.9548235485894685
100,294,0.931305242095538
100,295,0.9324023632509101
100,296,0.9334844801414726
100,297,0.9345518365128811
100,298,0.9356046714103881
100,299,0.936643219284368
100,300,0.9376677100931347
100,301,0.9386783694031281
100,302,0.9396754184865485
100,303,0.9406590744165084
