Pressure (P),Temperature (T),Z (Pitzer),Z (PR)
10,273,0.9952558066430311,0.9927673523921102
10,274,0.9953707646602232,0.9929105545029837
10,275,0.9954839629835919,0.9930516776600445
10,276,0.9955954328207892,0.9931907572368077
10,277,0.9957052047271531,0.9933278278877354
10,278,0.9958133086215322,0.993462923565454
10,279,0.9959197738016757,0.9935960775374947
10,280,0.9960246289591961,0.9937273224025686
10,281,0.9961279021941213,0.9938566901064019
10,282,0.996229621029049,0.9939842119571256
10,283,0.9963298124229131,0.9941099186402509
10,284,0.9964285027843769,0.9942338402332416
10,285,0.9965257179848621,0.9943560062196839
10,286,0.9966214833712268,0.9944764455030797
10,287,0.9967158237781013,0.9945951864202646
10,288,0.9968087635398936,0.9947122567544747
10,289,0.9969003265024737,0.9948276837480516
10,290,0.9969905360345462,0.9949414941148244
10,291,0.9970794150387214,0.9950537140521538
10,292,0.9971669859622933,0.9951643692526685
10,293,0.9972532708077324,0.995273484915677
10,294,0.9973382911429046,0.9953810857582982
10,295,0.9974220681110206,0.9954871960262992
10,296,0.997504622440326,0.9955918395046363
10,297,0.9975859744535398,0.9956950395277412
10,298,0.9976661440770473,0.9957968189895376
10,299,0.997745150849856,0.9958972003531903
10,300,0.9978230139323202,0.9959962056606203
10,301,0.9978997521146417,0.9960938565417675
10,302,0.9979753838251534,0.9961901742236193
10,303,0.9980499271383905,0.996285179539013
10,304,0.9981233997829576,0.9963788929352132
10,305,0.9981958191491955,0.9964713344822806
10,306,0.9982672022966548,0.9965625238812236
10,307,0.9983375659613807,0.9966524804719438
10,308,0.9984069265630158,0.9967412232409992
10,309,0.9984753002117241,0.9968287708291581
10,310,0.9985427027149437,0.9969151415387767
10,311,0.9986091495839694,0.9970003533409925
10,312,0.9986746560403746,0.9970844238827404
10,313,0.9987392370222727,0.9971673704935946
10,314,0.9988029071904251,0.9972492101924552
10,315,0.9988656809341989,0.9973299596940577
10,316,0.9989275723773793,0.9974096354153342
10,317,0.9989885953838393,0.9974882534816228
10,318,0.9990487635630723,0.9975658297327188
10,319,0.9991080902755896,0.997642379728788
10,320,0.9991665886381886,0.9977179187561402
10,321,0.9992242715290932,0.9977924618328622
10,322,0.9992811515929705,0.9978660237143161
20,273,0.9905116132860623,0.9864208695760536
20,274,0.9907415293204466,0.9866986432511535
20,275,0.9909679259671837,0.9869723334150486
20,276,0.9911908656415785,0.9872420109141957
20,277,0.991410409454306,0.9875077451125722
20,278,0.9916266172430644,0.9877696039286074
20,279,0.9918395476033515,0.9880276538710283
20,280,0.992049257918392,0.9882819600736656
20,281,0.9922558043882426,0.9885325863292628
20,282,0.9924592420580979,0.9887795951222923
20,283,0.9926596248458263,0.989023047660861
20,284,0.9928570055687539,0.9892630039076764
20,285,0.9930514359697242,0.9894995226101517
20,286,0.9932429667424536,0.9897326613296604
20,287,0.9934316475562025,0.9899624764699493
20,288,0.9936175270797871,0.9901890233047898
20,289,0.9938006530049474,0.990412356004817
20,290,0.9939810720690925,0.9906325276636566
20,291,0.994158830077443,0.9908495903233178
20,292,0.9943339719245865,0.9910635949988748
20,293,0.9945065416154647,0.9912745917025
20,294,0.9946765822858092,0.9914826294668134
20,295,0.9948441362220412,0.9916877563676111
20,296,0.995009244880652,0.9918900195459799
20,297,0.9951719489070795,0.992089465229812
20,298,0.9953322881540946,0.9922861387547373
20,299,0.995490301699712,0.9924800845845089
20,300,0.9956460278646403,0.9926713463308366
20,301,0.9957995042292834,0.9928599667726951
20,302,0.9959507676503068,0.9930459878751248
20,303,0.996099854276781,0.993229450807541
20,304,0.9962467995659152,0.9934103959615566
20,305,0.9963916382983912,0.9935888629683426
20,306,0.9965344045933096,0.9937648907155465
20,307,0.9966751319227614,0.9939385173637536
20,308,0.9968138531260314,0.9941097803625428
20,309,0.9969506004234483,0.9942787164661229
20,310,0.9970854054298874,0.9944453617485621
20,311,0.9972182991679389,0.9946097516186441
20,312,0.9973493120807493,0.9947719208343327
20,313,0.9974784740445454,0.9949319035168833
20,314,0.99760581438085,0.9950897331645839
20,315,0.9977313618683978,0.9952454426661701
20,316,0.9978551447547587,0.9953990643138874
20,317,0.9979771907676788,0.9955506298162404
20,318,0.9980975271261445,0.9957001703104144
20,319,0.9982161805511792,0.9958477163744047
20,320,0.9983331772763773,0.9959932980388337
20,321,0.9984485430581864,0.9961369447984822
20,322,0.9985623031859411,0.9962786856235438
30,273,0.9857674199290934,0.980961310774207
30,274,0.9861122939806698,0.9813643262136482
30,275,0.9864518889507755,0.9817613546769074
30,276,0.9867862984623678,0.9821525017204075
30,277,0.9871156141814591,0.9825378706375038
30,278,0.9874399258645966,0.9829175625167491
30,279,0.9877593214050272,0.9832916762984005
30,280,0.9880738868775881,0.983660308829205
30,281,0.9883837065823637,0.984023554915541
30,282,0.9886888630871469,0.9843815073749625
30,283,0.9889894372687393,0.9847342570862103
30,284,0.9892855083531308,0.9850818930377355
30,285,0.9895771539545865,0.9854245023747931
30,286,0.9898644501136804,0.9857621704451556
30,287,0.9901474713343038,0.986094980843478
30,288,0.9904262906196808,0.9864230154543938
30,289,0.9907009795074211,0.9867463544943345
30,290,0.9909716081036386,0.9870650765521716
30,291,0.9912382451161644,0.9873792586286799
30,292,0.9915009578868796,0.9876889761748724
30,293,0.9917598124231971,0.9879943031292523
30,294,0.9920148734287139,0.9882953119540145
30,295,0.9922662043330618,0.9885920736702172
30,296,0.992513867320978,0.9888846578919807
30,297,0.9927579233606193,0.9891731328597247
30,298,0.9929984322311419,0.989457565472481
30,299,0.993235452549568,0.989738021319332
30,300,0.9934690417969605,0.9900145647099527
30,301,0.9936992563439251,0.9902872587043481
30,302,0.99392615147546,0.9905561651417596
30,303,0.9941497814151715,0.9908213446687927
30,304,0.9943701993488729,0.991082856766788
30,305,0.9945874574475867,0.9913407597784517
30,306,0.9948016068899643,0.9915951109337745
30,307,0.995012697884142,0.9918459663752554
30,308,0.9952207796890472,0.9920933811824653
30,309,0.9954259006351726,0.9923374093959454
30,310,0.9956281081448312,0.9925781040404936
30,311,0.9958274487519083,0.9928155171478241
30,312,0.9960239681211239,0.9930496997786509
30,313,0.9962177110668181,0.9932807020441808
30,314,0.9964087215712751,0.9935085731270605
30,315,0.9965970428025966,0.9937333613017854
30,316,0.996782717132138,0.9939551139545713
30,317,0.9969657861515181,0.9941738776027313
30,318,0.9971462906892169,0.9943896979135473
30,319,0.9973242708267688,0.9946026197226754
30,320,0.9974997659145659,0.9948126870520745
30,321,0.9976728145872796,0.9950199431274871
30,322,0.9978434547789116,0.9952244303954854
40,273,0.9810232265721246,0.9763837427868636
40,274,0.9814830586408931,0.9769021039195631
40,275,0.9819358519343674,0.9774127003211597
40,276,0.9823817312831571,0.9779156706141862
40,277,0.9828208189086122,0.9784111503919144
40,278,0.9832532344861289,0.9788992722984237
40,279,0.9836790952067029,0.9793801661061604
40,280,0.9840985158367841,0.9798539587910543
40,281,0.984511608776485,0.9803207746053153
40,282,0.9849184841161958,0.9807807351479707
40,283,0.9853192496916525,0.9812339594332318
40,284,0.9857140111375077,0.9816805639567622
40,285,0.9861028719394486,0.9821206627599423
40,286,0.9864859334849071,0.9825543674921775
40,287,0.986863295112405,0.9829817874713344
40,288,0.9872350541595744,0.9834030297423575
40,289,0.9876013060098947,0.9838181991341574
40,290,0.9879621441381848,0.9842273983147876
40,291,0.9883176601548859,0.9846307278450176
40,292,0.9886679438491729,0.9850282862303132
40,293,0.9890130832309295,0.9854201699713138
40,294,0.9893531645716185,0.9858064736128366
40,295,0.9896882724440823,0.9861872897914583
40,296,0.9900184897613039,0.9865627092817418
40,297,0.9903438978141591,0.9869328210411276
40,298,0.9906645763081892,0.9872977122535497
40,299,0.990980603399424,0.9876574683718171
40,300,0.9912920557292806,0.9880121731587949
40,301,0.9915990084585667,0.9883619087274357
40,302,0.9919015353006134,0.9887067555796857
40,303,0.992199708553562,0.9890467926443083
40,304,0.9924935991318306,0.9893820973136712
40,305,0.9927832765967822,0.9897127454794986
40,306,0.9930688091866191,0.9900388115676673
40,307,0.9933502638455226,0.9903603685720332
40,308,0.9936277062520629,0.9906774880873495
40,309,0.9939012008468967,0.9909902403412869
40,310,0.9941708108597749,0.991298694225597
40,311,0.9944365983358778,0.9916029173264335
40,312,0.9946986241614986,0.9919029759538717
40,313,0.9949569480890909,0.9921989351706354
40,314,0.9952116287617002,0.9924908588200692
40,315,0.9954627237367956,0.9927788095533685
40,316,0.9957102895095173,0.9930628488560999
40,317,0.9959543815353575,0.9933430370740227
40,318,0.9961950542522892,0.9936194334382499
40,319,0.9964323611023583,0.9938920960897388
40,320,0.9966663545527545,0.9941610821031702
40,321,0.9968970861163728,0.9944264475101978
40,322,0.997124606371882,0.9946882473221111
50,273,0.9762790332151557,0.9726776625110668
50,274,0.9768538233011164,0.973301055905702
50,275,0.9774198149179593,0.9739150538867077
50,276,0.9779771641039463,0.9745198256614614
50,277,0.9785260236357651,0.9751155366893177
50,278,0.9790665431076611,0.9757023487825364
50,279,0.9795988690083787,0.9762804202039626
50,280,0.9801231447959802,0.9768499057615698
50,281,0.9806395109706063,0.9774109569000116
50,282,0.9811481051452448,0.9779637217892603
50,283,0.9816490621145656,0.9785083454104733
50,284,0.9821425139218846,0.9790449696391513
50,285,0.9826285899243107,0.9795737333257374
50,286,0.9831074168561339,0.9800947723737014
50,287,0.9835791188905063,0.9806082198152286
50,288,0.9840438176994679,0.9811142058846017
50,289,0.9845016325123684,0.9816128580893361
50,290,0.9849526801727311,0.9821043012791731
50,291,0.9853970751936073,0.9825886577129919
50,292,0.9858349298114661,0.9830660471237221
50,293,0.9862663540386619,0.9835365867813147
50,294,0.9866914557145231,0.9840003915538624
50,295,0.9871103405551029,0.9844575739668993
50,296,0.9875231122016299,0.9849082442609833
50,297,0.9879298722676989,0.9853525104475804
50,298,0.9883307203852365,0.9857904783633379
50,299,0.98872575424928,0.9862222517227854
50,300,0.9891150696616008,0.9866479321695324
50,301,0.9894987605732085,0.9870676193259824
50,302,0.9898769191257668,0.987481410841651
50,303,0.9902496356919526,0.9878894024401096
50,304,0.9906169989147882,0.9882916879646046
50,305,0.9909790957459779,0.9886883594224039
50,306,0.9913360114832739,0.989079507027896
50,307,0.9916878298069033,0.9894652192445056
50,308,0.9920346328150786,0.9898455828254408
50,309,0.9923765010586209,0.9902206828533218
50,310,0.9927135135747186,0.9905906027787283
50,311,0.9930457479198472,0.990955424457693
50,312,0.9933732802018732,0.9913152281881803
50,313,0.9936961851113635,0.9916700927455732
50,314,0.9940145359521252,0.9920200954172201
50,315,0.9943284046709945,0.9923653120360462
50,316,0.9946378618868966,0.9927058170132669
50,317,0.9949429769191969,0.99304168337025
50,318,0.9952438178153614,0.9933729827695144
50,319,0.995540451377948,0.9936997855449371
50,320,0.9958329431909433,0.9940221607311478
50,321,0.996121357645466,0.9943401760921757
50,322,0.9964057579648526,0.9946538981493399
60,273,0.9715348398581869,0.9698272888178572
60,274,0.9722245879613397,0.9705451411292156
60,275,0.972903777901551,0.9712521315887528
60,276,0.9735725969247356,0.9719484567713158
60,277,0.9742312283629182,0.9726343088636964
60,278,0.9748798517291933,0.9733098757840388
60,279,0.9755186428100544,0.973975341297362
60,280,0.9761477737551761,0.9746308851273277
60,281,0.9767674131647276,0.9752766830644166
60,282,0.9773777261742937,0.9759129070706338
60,283,0.9779788745374788,0.9765397253808814
60,284,0.9785710167062616,0.9771573026011201
60,285,0.9791543079091728,0.9777657998034525
60,286,0.9797289002273607,0.978365374618208
60,287,0.9802949426686075,0.9789561813231875
60,288,0.9808525812393615,0.9795383709301257
60,289,0.9814019590148421,0.9801120912685056
60,290,0.9819432162072773,0.9806774870668034
60,291,0.9824764902323289,0.9812347000312598
60,292,0.9830019157737594,0.9817838689222652
60,293,0.9835196248463942,0.9823251296284523
60,294,0.9840297468574277,0.9828586152385641
60,295,0.9845324086661235,0.983384456111183
60,296,0.9850277346419559,0.9839027799423864
