Temperature (T),Vapor Pressure (PR) [bar]
273,2.6980087994052226
274,2.708760111936037
275,2.719440907810843
276,2.730051140174217
277,2.740590774232805
278,2.751059787036764
279,2.761458167261312
280,2.7717859149886563
281,2.782043041490276
282,2.7922295690098116
283,2.8023455305465093
284,2.8123909696394565
285,2.822365940152662
286,2.8322705060610467
287,2.8421047412374727
288,2.851868729240893
289,2.861562563105712
290,2.8711863451324136
291,2.8807401866795566
292,2.8902242079571887
293,2.899638537821837
294,2.908983313572954
295,2.918258680751135
296,2.9274647929379247
297,2.936601811557457
298,2.945669905679881
299,2.954669251826639
300,2.9636000337777024
301,2.9724624423807176
302,2.9812566753622
303,2.989982937140732
304,2.998641438642298
305,3.0072323971176957
306,3.0157560359621
307,3.0242125845368126
308,3.0326022779932584
309,3.0409253570991663
310,3.0491820680670116
311,3.057372662384769
312,3.065497396648948
313,3.073556532399917
314,3.081550335959585
315,3.089479078271407
316,3.0973430347427655
317,3.1051424850896523
318,3.112877713183803
319,3.1205490069021016
320,3.128156657978458
321,3.1357009618579834
322,3.143182217553579
